Word,Frequency,Rank
stopped,9,973
november,9,974
dreadful,9,975
shirley,9,976
humour,9,977
equally,9,978
interval,9,979
quietly,9,980
afford,9,981
contrary,9,982
pray,9,983
lord,9,984
drawing-room,9,985
weather,9,986
visited,9,987
dress,9,988
news,9,989
mistaken,9,990
follow,9,991
comprehend,9,992
recollection,9,993
card,9,994
desire,9,995
tolerable,8,996
receive,8,997
theirs,8,998
immediate,8,999
observing,8,1000
arms,8,1001
deserved,8,1002
conviction,8,1003
hold,8,1004
picture,8,1005
pardon,8,1006
judgement,8,1007
writing,8,1008
previously,8,1009
marrying,8,1010
setting,8,1011
greatest,8,1012
families,8,1013
admiral's,8,1014
burst,8,1015
notions,8,1016
affairs,8,1017
enjoy,8,1018
exclaimed,8,1019
ease,8,1020
beg,8,1021
woman's,8,1022
emotion,8,1023
ceased,8,1024
earlier,8,1025
public,8,1026
gradually,8,1027
arm,8,1028
habit,8,1029
observation,8,1030
standing,8,1031
fail,8,1032
matters,8,1033
astonished,8,1034
reading,8,1035
loss,8,1036
roused,8,1037
aunt,8,1038
spent,8,1039
changed,8,1040
event,8,1041
laconia,8,1042
month,8,1043
minute,8,1044
distinguished,8,1045
increased,8,1046
quick,8,1047
scheme,8,1048
number,8,1049
civility,8,1050
favourite,8,1051
book,8,1052
purpose,8,1053
dark,8,1054
lives,8,1055
spot,8,1056
fallen,8,1057
judge,8,1058
interrupted,8,1059
consequently,8,1060
gratification,8,1061
thousand,8,1062
exertion,8,1063
confusion,8,1064
furniture,8,1065
circle,8,1066
acknowledged,8,1067
deep,8,1068
form,8,1069
persuade,8,1070
monkford,8,1071
story,8,1072
reflection,8,1073
acknowledge,8,1074
pay,8,1075
cheeks,8,1076
whatever,8,1077
recovering,8,1078
entered,8,1079
line,8,1080
steps,8,1081
names,8,1082
shewed,8,1083
impression,8,1084
ay,8,1085
proud,8,1086
act,8,1087
convey,8,1088
henrietta's,8,1089
bless,8,1090
shewn,8,1091
expressed,7,1092
comes,7,1093
elegance,7,1094
glow,7,1095
sigh,7,1096
considerable,7,1097
unable,7,1098
conscious,7,1099
seriously,7,1100
agree,7,1101
sufficient,7,1102
difficulty,7,1103
illness,7,1104
westgate,7,1105
intended,7,1106
boys,7,1107
choice,7,1108
habits,7,1109
principle,7,1110
during,7,1111
proposed,7,1112
sought,7,1113
war,7,1114
concerned,7,1115
suddenly,7,1116
thrown,7,1117
rooke,7,1118
lose,7,1119
connexions,7,1120
light,7,1121
recovered,7,1122
quarter,7,1123
refused,7,1124
safely,7,1125
settle,7,1126
important,7,1127
died,7,1128
learnt,7,1129
smiles,7,1130
excuse,7,1131
curate,7,1132
close,7,1133
intention,7,1134
sudden,7,1135
collected,7,1136
laura,7,1137
ill-used,7,1138
one's,7,1139
delightful,7,1140
rational,7,1141
plain,7,1142
parties,7,1143
fancy,7,1144
courage,7,1145
entering,7,1146
struggle,7,1147
accident,7,1148
mamma,7,1149
man's,7,1150
ourselves,7,1151
seven,7,1152
passing,7,1153
elizabeth's,7,1154
apparent,7,1155
repeated,7,1156
visits,7,1157
held,7,1158
moved,7,1159
prevent,7,1160
bloom,7,1161
decidedly,7,1162
clever,7,1163
decision,7,1164
laughing,7,1165
remaining,7,1166
improvement,7,1167
note,7,1168
indies,7,1169
catch,7,1170
felicity,7,1171
knows,7,1172
secure,7,1173
says,7,1174
horror,7,1175
to-day,7,1176
parted,7,1177
carried,7,1178
expression,7,1179
opposition,7,1180
music,7,1181
companions,7,1182
hard,7,1183
honours,7,1184
body,7,1185
eagerly,7,1186
principal,7,1187
sailors,7,1188
sofa,7,1189
admire,7,1190
younger,7,1191
friendly,7,1192
excessively,7,1193
speech,7,1194
whenever,7,1195
steady,7,1196
chair,7,1197
amiable,7,1198
led,7,1199
infinitely,7,1200
plymouth,7,1201
watch,7,1202
excited,7,1203
dancing,7,1204
momentary,7,1205
authority,7,1206
luck,7,1207
neighbours,7,1208
disposition,7,1209
support,7,1210
gentle,7,1211
self,6,1212
guess,6,1213
north,6,1214
essential,6,1215
recover,6,1216
comparison,6,1217
conveyed,6,1218
wretched,6,1219
accordingly,6,1220
paid,6,1221
lines,6,1222
hurry,6,1223
suspect,6,1224
distant,6,1225
supposing,6,1226
probable,6,1227
good-will,6,1228
recommendation,6,1229
decent,6,1230
servants,6,1231
composure,6,1232
higher,6,1233
papa,6,1234
intelligence,6,1235
that's,6,1236
accept,6,1237
cut,6,1238
thoroughly,6,1239
cure,6,1240
single,6,1241
above,6,1242
various,6,1243
failed,6,1244
occasionally,6,1245
independence,6,1246
folly,6,1247
suited,6,1248
precisely,6,1249
thirty,6,1250
caution,6,1251
earnest,6,1252
beautiful,6,1253
impatient,6,1254
latter,6,1255
sophy,6,1256
lucky,6,1257
persuasion,6,1258
possession,6,1259
ship,6,1260
add,6,1261
thirteen,6,1262
communication,6,1263
draw,6,1264
wild,6,1265
easily,6,1266
effects,6,1267
james,6,1268
opposite,6,1269
mutual,6,1270
enter,6,1271
offer,6,1272
points,6,1273
borne,6,1274
friend's,6,1275
sentiment,6,1276
impressions,6,1277
estate,6,1278
run,6,1279
quitted,6,1280
deeply,6,1281
succeeded,6,1282
space,6,1283
precious,6,1284
events,6,1285
obliging,6,1286
ventured,6,1287
totally,6,1288
delay,6,1289
distressed,6,1290
delight,6,1291
youngest,6,1292
daily,6,1293
kindly,6,1294
pursuits,6,1295
smith's,6,1296
naval,6,1297
regular,6,1298
telling,6,1299
cheerfulness,6,1300
christmas,6,1301
pretend,6,1302
grant,6,1303
distinguish,6,1304
england,6,1305
wise,6,1306
readily,6,1307
agony,6,1308
twice,6,1309
arranged,6,1310
induced,6,1311
ways,6,1312
human,6,1313
absurd,6,1314
material,6,1315
introduction,6,1316
politeness,6,1317
streets,6,1318
belonged,6,1319
write,6,1320
corner,6,1321
hopeless,6,1322
grace,6,1323
drawn,6,1324
fortitude,6,1325
grounds,6,1326
cool,6,1327
houses,6,1328
mourning,6,1329
proceeded,6,1330
mistress,6,1331
broken,6,1332
attentive,6,1333
particulars,6,1334
hurried,6,1335
interference,6,1336
education,6,1337
consent,6,1338
cause,6,1339
feared,6,1340
recollected,6,1341
sweet,6,1342
rise,6,1343
elliots,6,1344
receiving,6,1345
amused,6,1346
presented,6,1347
moreover,6,1348
naturally,6,1349
consideration,6,1350
recovery,6,1351
risk,6,1352
rendered,6,1353
worst,6,1354
alarm,6,1355
greatly,6,1356
arrangements,6,1357
makes,6,1358
happily,6,1359
proceed,6,1360
forty,6,1361
dead,6,1362
respects,6,1363
supply,6,1364
foot,6,1365
lively,6,1366
information,6,1367
scenes,6,1368
apparently,6,1369
memory,6,1370
station,6,1371
west,6,1372
careless,6,1373
quitting,6,1374
taunton,6,1375
assistance,6,1376
sad,6,1377
learn,6,1378
relief,6,1379
explanation,6,1380
attended,6,1381
cordiality,6,1382
save,6,1383
happiest,6,1384
command,6,1385
private,6,1386
asp,6,1387
nineteen,6,1388
inconvenient,6,1389
convince,6,1390
freckles,6,1391
unfeeling,6,1392
language,6,1393
sending,6,1394
declared,6,1395
disappointed,6,1396
accommodations,6,1397
exquisite,6,1398
remembrance,6,1399
conscience,6,1400
hearts,5,1401
reference,5,1402
submitted,5,1403
relation,5,1404
gallantry,5,1405
preferred,5,1406
later,5,1407
offering,5,1408
carry,5,1409
decide,5,1410
stronger,5,1411
strongest,5,1412
travelled,5,1413
slight,5,1414
appointment,5,1415
sees,5,1416
noise,5,1417
poetry,5,1418
journey,5,1419
spending,5,1420
heads,5,1421
assist,5,1422
wants,5,1423
selfishness,5,1424
gay,5,1425
reconciliation,5,1426
startled,5,1427
fate,5,1428
restored,5,1429
white,5,1430
joy,5,1431
influenced,5,1432
marlborough,5,1433
wherever,5,1434
deserted,5,1435
well-looking,5,1436
neglect,5,1437
stand,5,1438
relations,5,1439
box,5,1440
bed,5,1441
composed,5,1442
pounds,5,1443
offered,5,1444
concern,5,1445
acting,5,1446
connected,5,1447
gentleman's,5,1448
hundred,5,1449
heaven,5,1450
connection,5,1451
belief,5,1452
played,5,1453
conclusion,5,1454
surgeon,5,1455
undoubtedly,5,1456
maintaining,5,1457
pen,5,1458
increase,5,1459
lodge,5,1460
difficult,5,1461
gratified,5,1462
unwell,5,1463
enquiry,5,1464
cruel,5,1465
happier,5,1466
preparing,5,1467
zeal,5,1468
curacy,5,1469
lessened,5,1470
thinks,5,1471
constancy,5,1472
sensation,5,1473
esq,5,1474
prevented,5,1475
assisted,5,1476
cared,5,1477
abroad,5,1478
injury,5,1479
spread,5,1480
respectability,5,1481
ground,5,1482
lovely,5,1483
compared,5,1484
liking,5,1485
bright,5,1486
addition,5,1487
result,5,1488
approach,5,1489
fifty,5,1490
rate,5,1491
merits,5,1492
shocked,5,1493
rid,5,1494
suggest,5,1495
absolutely,5,1496
assured,5,1497
entrance,5,1498
mistake,5,1499
couple,5,1500
attached,5,1501
prosperity,5,1502
inclined,5,1503
explain,5,1504
occur,5,1505
lower,5,1506
tenants,5,1507
evils,5,1508
occupation,5,1509
complaisance,5,1510
scene,5,1511
drove,5,1512
wife's,5,1513
advice,5,1514
applied,5,1515
continuing,5,1516
alliance,5,1517
formerly,5,1518
sailor,5,1519
somewhere,5,1520
benefit,5,1521
jealous,5,1522
uncertain,5,1523
valued,5,1524
admired,5,1525
residence,5,1526
grieved,5,1527
cleared,5,1528
tender,5,1529
chaise,5,1530
twenty,5,1531
concerns,5,1532
contempt,5,1533
related,5,1534
valuable,5,1535
hereafter,5,1536
convenience,5,1537
attempts,5,1538
employed,5,1539
officer,5,1540
office,5,1541
morrow,5,1542
fortnight,5,1543
presently,5,1544
peculiar,5,1545
dick,5,1546
honourable,5,1547
free,5,1548
animation,5,1549
raised,5,1550
finally,5,1551
reasonable,5,1552
belonging,5,1553
renewed,5,1554
accounts,5,1555
somebody,5,1556
eagerness,5,1557
unjust,5,1558
uttered,5,1559
strangers,5,1560
powers,5,1561
compassion,5,1562
jealousy,5,1563
described,5,1564
rejoiced,5,1565
relationship,5,1566
worldly,5,1567
fool,5,1568
attempt,5,1569
supplied,5,1570
mortification,5,1571
bow,5,1572
stir,5,1573
careful,5,1574
odd,5,1575
express,5,1576
certainty,5,1577
chose,5,1578
apology,5,1579
please,5,1580
advantages,5,1581
twelve,5,1582
tuesday,5,1583
paper,5,1584
places,5,1585
attraction,5,1586
lessening,5,1587
worthy,5,1588
resident,5,1589
ruin,5,1590
leading,5,1591
success,5,1592
calm,5,1593
black,5,1594
angry,5,1595
blame,5,1596
footing,5,1597
objection,5,1598
civil,5,1599
involved,5,1600
liberty,5,1601
experience,5,1602
alas,5,1603
born,5,1604
milsom,5,1605
hayters,5,1606
strict,5,1607
active,5,1608
income,5,1609
respectable,5,1610
intervals,5,1611
waited,5,1612
running,5,1613
scruple,5,1614
wound,5,1615
arrangement,5,1616
included,5,1617
gentleness,5,1618
mile,5,1619
propriety,5,1620
italian,5,1621
trial,5,1622
drive,5,1623
usefulness,5,1624
dined,5,1625
willing,5,1626
master,5,1627
earnestly,5,1628
becoming,5,1629
dared,5,1630
don't,5,1631
rejoice,4,1632
harm,4,1633
delicacy,4,1634
bestow,4,1635
openness,4,1636
disinterested,4,1637
awkwardness,4,1638
ceaseless,4,1639
unnecessary,4,1640
livery,4,1641
unpleasant,4,1642
sunk,4,1643
occupying,4,1644
consolation,4,1645
silly,4,1646
